2021-07-01	52485800
2021-07-02	78852600
2021-07-06	108181800
2021-07-07	104911600
2021-07-08	105575500
2021-07-09	99890800
2021-07-12	76299700
2021-07-13	100827100
2021-07-14	127050800
2021-07-15	106820300
2021-07-16	93251400
2021-07-19	121434600
2021-07-20	96350000
2021-07-21	74993500
2021-07-22	77338200
2021-07-23	71447400
2021-07-26	72434100
2021-07-27	104818600
2021-07-28	118931200
2021-07-29	56699500
2021-07-30	70382000
2021-08-02	62880000
2021-08-03	64786600
2021-08-04	56368300
2021-08-05	46397700
2021-08-06	54067400
2021-08-09	48908700
2021-08-10	69023100
2021-08-11	48493500
2021-08-12	72282600
2021-08-13	59318800
2021-08-16	103296000
2021-08-17	92229700
2021-08-18	86326000
2021-08-19	86960300
2021-08-20	59947400
2021-08-23	60131800
2021-08-24	48606400
2021-08-25	58991300
2021-08-26	48597200
2021-08-27	55721500
2021-08-30	90956700
2021-08-31	86453100
